CODE	EN	Code-8digits
14714000-9	Tin	14714000
14715000-6	Copper	14715000
14720000-4	Aluminium, nickel, scandium, titanium and vanadium	14720000
14721000-1	Aluminium	14721000
14721100-2	Aluminium oxide	14721100
14722000-8	Nickel	14722000
14723000-5	Scandium	14723000
14724000-2	Titanium	14724000
14725000-9	Vanadium	14725000
14730000-7	Chromium, manganese, cobalt, yttrium and zirconium	14730000
14731000-4	Chromium	14731000
14732000-1	Manganese	14732000
14733000-8	Cobalt	14733000
14734000-5	Yttrium	14734000
14735000-2	Zirconium	14735000
14740000-0	Molybdenum, technetium, ruthenium and rhodium	14740000
14741000-7	Molybdenum	14741000
14742000-4	Technetium	14742000
14743000-1	Ruthenium	14743000
14744000-8	Rhodium	14744000
14750000-3	Cadmium, lutetium, hafnium, tantalum and tungsten	14750000
14751000-0	Cadmium	14751000
14752000-7	Lutetium	14752000
14753000-4	Hafnium	14753000
14754000-1	Tantalum	14754000
14755000-8	Tungsten	14755000
14760000-6	Iridium, gallium, indium, thallium and barium	14760000
14761000-3	Iridium	14761000
14762000-0	Gallium	14762000
14763000-7	Indium	14763000
14764000-4	Thallium	14764000
14765000-1	Barium	14765000
14770000-9	Caesium, strontium, rubidium and calcium	14770000
14771000-6	Caesium	14771000
14772000-3	Strontium	14772000
14773000-0	Rubidium	14773000
14774000-7	Calcium	14774000
14780000-2	Potassium, magnesium, sodium and lithium	14780000
14781000-9	Potassium	14781000
14782000-6	Magnesium	14782000
14783000-3	Sodium	14783000
14784000-0	Lithium	14784000
14790000-5	Niobium, osmium, rhenium and palladium	14790000
14791000-2	Niobium	14791000
14792000-9	Osmium	14792000
14793000-6	Rhenium	14793000
14794000-3	Palladium	14794000
14800000-9	Miscellaneous non-metallic mineral products	14800000
14810000-2	Abrasive products	14810000
14811000-9	Millstones, grindstones and grinding wheels	14811000
14811100-0	Millstones	14811100
14811200-1	Grindstones	14811200
14811300-2	Grinding wheels	14811300
14812000-6	Abrasive powder or grain	14812000
14813000-3	Artificial corundum	14813000
14814000-0	Artificial graphite	14814000
14820000-5	Glass	14820000
14830000-8	Fibreglass	14830000
14900000-0	Recovered secondary raw materials	14900000
14910000-3	Recovered secondary metal raw materials	14910000
14920000-6	Recovered secondary non-metal raw materials	14920000
14930000-9	Ash and residues containing metals	14930000
15000000-8	Food, beverages, tobacco and related products	15000000
15100000-9	Animal products, meat and meat products	15100000
15110000-2	Meat	15110000
15111000-9	Bovine meat	15111000
15111100-0	Beef	15111100
15111200-1	Veal	15111200
15112000-6	Poultry	15112000
15112100-7	Fresh poultry	15112100
15112110-0	Geese	15112110
15112120-3	Turkeys	15112120
15112130-6	Chickens	15112130
15112140-9	Ducks	15112140
15112300-9	Poultry livers	15112300
15112310-2	Foie gras	15112310
15113000-3	Pork	15113000
15114000-0	Offal	15114000
15115000-7	Lamb and mutton	15115000
15115100-8	Lamb	15115100
15115200-9	Mutton	15115200
15117000-1	Goat meat	15117000
15118000-8	Horse, ass, mule or hinny meat	15118000
15118100-9	Horsemeat	15118100
15118900-7	Ass, mule or hinny meat	15118900
15119000-5	Various meats	15119000
15119100-6	Rabbit meat	15119100
15119200-7	Hare meat	15119200
15119300-8	Game	15119300
15119400-9	Frogs' legs	15119400
15119500-0	Pigeons	15119500
15119600-1	Fish meat	15119600
15130000-8	Meat products	15130000
15131000-5	Meat preserves and preparations	15131000
15131100-6	Sausage-meat products	15131100
15131110-9	Sausage meat	15131110
15131120-2	Sausage products	15131120
15131130-5	Sausages	15131130
15131134-3	Black pudding and other blood sausages	15131134
15131135-0	Poultry sausages	15131135
15131200-7	Dried, salted, smoked or seasoned meat	15131200
15131210-0	Gammon	15131210
15131220-3	Bacon	15131220
15131230-6	Salami	15131230
15131300-8	Liver preparations	15131300
15131310-1	Pâté	15131310
15131320-4	Preparations of goose or duck liver	15131320
15131400-9	Pork products	15131400
15131410-2	Ham	15131410
15131420-5	Meatballs	15131420
15131490-6	Prepared pork dishes	15131490
15131500-0	Poultry products	15131500
15131600-1	Beef and veal products	15131600
15131610-4	Beef meatballs	15131610
15131620-7	Minced beef	15131620
15131640-3	Beefburgers	15131640
15131700-2	Meat preparations	15131700
15200000-0	Prepared and preserved fish	15200000
15210000-3	Fish fillets, fish livers and roe	15210000
15211000-0	Fish fillets	15211000
15211100-1	Fresh fish fillets	15211100
15212000-7	Fish roe	15212000
15213000-4	Fish livers	15213000
15220000-6	Frozen fish, fish fillets and other fish meat	15220000
15221000-3	Frozen fish	15221000
15229000-9	Frozen fish products	15229000
15230000-9	Dried or salted fish; fish in brine; smoked fish	15230000
15231000-6	Dried fish	15231000
15232000-3	Salted fish	15232000
15233000-0	Fish in brine	15233000
15234000-7	Smoked fish	15234000
15235000-4	Preserved fish	15235000
15240000-2	Canned or tinned fish and other prepared or preserved fish	15240000
15241000-9	Coated, canned or tinned fish	15241000
15241100-0	Canned salmon	15241100
15241200-1	Prepared or preserved herring	15241200
15241300-2	Sardines	15241300
15241400-3	Canned tuna	15241400
15241500-4	Mackerel	15241500
15241600-5	Anchovies	15241600
15241700-6	Fish fingers	15241700
15241800-7	Coated fish preparations	15241800
15242000-6	Prepared fish dishes	15242000
15243000-3	Preparations of fish	15243000
15244000-0	Caviar and fish eggs	15244000
15244100-1	Caviar	15244100
15244200-2	Fish eggs	15244200
15250000-5	Seafood	15250000
15251000-2	Frozen crustaceans	15251000
15252000-9	Prepared or preserved crustaceans	15252000
15253000-6	Shellfish products	15253000
15300000-1	Fruit, vegetables and related products	15300000
15310000-4	Potatoes and potato products	15310000
15311000-1	Frozen potatoes	15311000
15311100-2	Chips or french fries	15311100
15311200-3	Diced, sliced and other frozen potatoes	15311200
15312000-8	Potato products	15312000
15312100-9	Instant mashed potatoes	15312100
15312200-0	Part-fried potato chips	15312200
15312300-1	Potato crisps	15312300
15312310-4	Flavoured potato crisps	15312310
15312400-2	Potato snacks	15312400
15312500-3	Potato croquettes	15312500
15313000-5	Processed potatoes	15313000
15320000-7	Fruit and vegetable juices	15320000
15321000-4	Fruit juices	15321000
15321100-5	Orange juice	15321100
15321200-6	Grapefruit juice	15321200
15321300-7	Lemon juice	15321300
15321400-8	Pineapple juice	15321400
15321500-9	Grape juice	15321500
15321600-0	Apple juice	15321600
15321700-1	Mixtures of unconcentrated juices	15321700
15321800-2	Concentrated juices	15321800
15322000-1	Vegetable juices	15322000
15322100-2	Tomato juice	15322100
15330000-0	Processed fruit and vegetables	15330000
15331000-7	Processed vegetables	15331000
15331100-8	Fresh or frozen vegetables	15331100
15331110-1	Processed root vegetables	15331110
15331120-4	Processed tuber vegetables	15331120
15331130-7	Beans, peas, peppers, tomatoes and other vegetables	15331130
15331131-4	Processed beans	15331131
15331132-1	Processed peas	15331132
15331133-8	Split peas	15331133
15331134-5	Processed tomatoes	15331134
15331135-2	Processed mushrooms	15331135
15331136-9	Processed peppers	15331136
15331137-6	Soybean sprouts	15331137
15331138-3	Truffles	15331138
15331140-0	Leaf and cabbage vegetables	15331140
15331142-4	Processed cabbage	15331142
15331150-3	Processed pulses	15331150
15331170-9	Frozen vegetables	15331170
15331400-1	Preserved and/or canned vegetables	15331400
15331410-4	Beans in tomato sauce	15331410
15331411-1	Baked beans	15331411
15331420-7	Preserved tomatoes	15331420
15331423-8	Canned tomatoes	15331423
15331425-2	Tomato purée	15331425
15331427-6	Concentrated tomato purée	15331427
15331428-3	Tomato sauce	15331428
15331430-0	Canned mushrooms	15331430
15331450-6	Processed olives	15331450
15331460-9	Canned vegetables	15331460
15331461-6	Canned sauerkraut	15331461
15331462-3	Canned peas	15331462
15331463-0	Canned shelled beans	15331463
15331464-7	Canned whole beans	15331464
15331465-4	Canned asparagus	15331465
15331466-1	Canned olives	15331466
15331470-2	Sweet corn	15331470
15331480-5	Provisionally preserved vegetables	15331480
15331500-2	Vegetables preserved in vinegar	15331500
15332000-4	Processed fruit and nuts	15332000
15332100-5	Processed fruit	15332100
15332140-7	Processed apples	15332140
15332150-0	Processed pears	15332150
15332160-3	Processed bananas	15332160
15332170-6	Rhubarb	15332170
15332180-9	Melons	15332180
15332200-6	Jams and marmalades; fruit jellies; fruit or nut purée and pastes	15332200
15332230-5	Marmalades	15332230
15332231-2	Orange marmalade	15332231
15332232-9	Lemon marmalade	15332232
15332240-8	Fruit jellies	15332240
15332250-1	Fruit pastes	15332250
15332260-4	Nut pastes	15332260
15332261-1	Peanut butter	15332261
15332270-7	Fruit purées	15332270
15332290-3	Jams	15332290
15332291-0	Apricot jam	15332291
15332292-7	Blackberry jam	15332292
15332293-4	Blackcurrant jam	15332293
15332294-1	Cherry jam	15332294
15332295-8	Raspberry jam	15332295
15332296-5	Strawberry jam	15332296
15332300-7	Processed nuts	15332300
15332310-0	Roasted or salted nuts	15332310
15332400-8	Preserved fruits	15332400
15332410-1	Dried fruit	15332410
15332411-8	Processed currants	15332411
15332412-5	Processed raisins	15332412
15332419-4	Sultanas	15332419
15333000-1	Vegetable by-products	15333000
15400000-2	Animal or vegetable oils and fats	15400000
15410000-5	Crude animal or vegetable oils and fats	15410000
15411000-2	Animal or vegetable oils	15411000
15411100-3	Vegetable oils	15411100
15411110-6	Olive oil	15411110
15411120-9	Sesame oil	15411120
15411130-2	Groundnut oil	15411130
15411140-5	Coconut oil	15411140
15411200-4	Cooking oil	15411200
15411210-7	Frying oil	15411210
15412000-9	Fats	15412000
15412100-0	Animal fats	15412100
15412200-1	Vegetable fats	15412200
15413000-6	Solid residues of vegetable fats or oils	15413000
15413100-7	Oilcake	15413100
15420000-8	Refined oils and fats	15420000
15421000-5	Refined oils	15421000
15422000-2	Refined fats	15422000
15423000-9	Hydrogenated or esterified oils or fats	15423000
15424000-6	Vegetable waxes	15424000
15430000-1	Edible fats	15430000
15431000-8	Margarine and similar preparations	15431000
15431100-9	Margarine	15431100
15431110-2	Liquid margarine	15431110
15431200-0	Reduced or low-fat spreads	15431200
15500000-3	Dairy products	15500000
15510000-6	Milk and cream	15510000
15511000-3	Milk	15511000
15511100-4	Pasteurised milk	15511100
15511200-5	Sterilised milk	15511200
15511210-8	UHT milk	15511210
15511300-6	Skimmed milk	15511300
15511400-7	Semi-skimmed milk	15511400
15511500-8	Full-cream milk	15511500
15511600-9	Condensed milk	15511600
15511700-0	Milk powder	15511700
15512000-0	Cream	15512000
15512100-1	Single cream	15512100
15512200-2	Double cream	15512200
15512300-3	Clotted cream	15512300
15512900-9	Whipping cream	15512900
15530000-2	Butter	15530000
15540000-5	Cheese products	15540000
15541000-2	Table cheese	15541000
15542000-9	Fresh cheese	15542000
15542100-0	Cottage cheese	15542100
15542200-1	Soft cheese	15542200
15542300-2	Feta cheese	15542300
15543000-6	Grated, powdered, blue-veined and other cheese	15543000
15543100-7	Blue cheese	15543100
15543200-8	Cheddar cheese	15543200
15543300-9	Grated cheese	15543300
15543400-0	Parmesan cheese	15543400
15544000-3	Hard cheese	15544000
15545000-0	Cheese spreads	15545000
15550000-8	Assorted dairy products	15550000
15551000-5	Yoghurt and other fermented milk products	15551000
15551300-8	Yoghurt	15551300
15551310-1	Unflavoured yoghurt	15551310
15551320-4	Flavoured yoghurt	15551320
15551500-0	Buttermilk	15551500
15552000-2	Casein	15552000
15553000-9	Lactose or lactose syrup	15553000
15554000-6	Whey	15554000
15555000-3	Ice cream and similar products	15555000
15555100-4	Ice cream	15555100
15555200-5	Sorbet	15555200
15600000-4	Grain mill products, starches and starch products	15600000
15610000-7	Grain mill products	15610000
15611000-4	Husked rice	15611000
15612000-1	Cereal or vegetable flour and related products	15612000
15612100-2	Wheat flour	15612100
15612110-5	Wholemeal flour	15612110
15612120-8	Breadmaking flour	15612120
15612130-1	Plain flour	15612130
15612150-7	Pastry flour	15612150
15612190-9	Self-raising flour	15612190
15612200-3	Cereal flour	15612200
15612210-6	Corn flour	15612210
15612220-9	Rice flour	15612220
15612300-4	Vegetable flour and meal	15612300
15612400-5	Mixes for the preparation of baker's wares	15612400
15612410-8	Cake mixes	15612410
15612420-1	Baking mixes	15612420
15612500-6	Bakery products	15612500
15613000-8	Cereal grain products	15613000
15613100-9	Ground oats	15613100
15613300-1	Cereal products	15613300
15613310-4	Prepared breakfast cereals	15613310
15613311-1	Cornflakes	15613311
15613313-5	Muesli or equivalent	15613313
15613319-7	Puffed wheat	15613319
15613380-5	Rolled oats	15613380
15614000-5	Processed rice	15614000
15614100-6	Long-grain rice	15614100
15614200-7	Milled rice	15614200
15614300-8	Broken rice	15614300
15615000-2	Bran	15615000
15620000-0	Starches and starch products	15620000
15621000-7	Corn oil	15621000
15622000-4	Glucose and glucose products; fructose and fructose products	15622000
15622100-5	Glucose and glucose products	15622100
15622110-8	Glucose	15622110
15622120-1	Glucose syrup	15622120
15622300-7	Fructose and fructose products	15622300
15622310-0	Fructose	15622310
15622320-3	Fructose preparations	15622320
15622321-0	Fructose solutions	15622321
15622322-7	Fructose syrup	15622322
15623000-1	Starches	15623000
15624000-8	Tapioca	15624000
15625000-5	Semolina	15625000
